time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,distance,reward,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-0.0272000369,-0.0135179004,10.0909865258,4.5933143449,5.9229390919,6.283147692,-1.6097951007,-0.2341935606,2.651348344,-28.5945516266,28.6062966047,-0.0019113512,0.095922487,54.2822716271,50.0792309189,1500.6596196865,1500.3399094669,50.4853642816
0.12,-0.0908346375,-0.1133170751,10.1967511835,3.2856351499,2.4006420745,6.2830653356,-1.0499107767,-1.5610765934,0.4463967327,-43.1715670777,43.1668395946,-0.0003162642,0.2445459448,42.014397803,49.8375145092,1500.6842483531,1500.9619208798,49.1578175545
0.18,-0.1715286387,-0.2290276655,10.2441179251,3.5660460242,1.7499097074,6.283175453,-1.5168536451,-3.0675149422,0.1249122971,-47.0898992816,47.061928376,0.0058241915,0.3761240578,31.7909290479,50.6067176565,1500.2724358267,1501.270574693,50.1610021319
0.24,-0.3356934167,-0.4343204818,10.2818293848,0.8475914115,4.7181553455,0.0005403691,-2.5418604184,-4.5610110978,1.1478942251,-47.8964146258,47.8512429805,0.0151395062,0.6170511754,21.499811767,50.4441106534,1500.0979087071,1501.6039402902,50.0116306547
0.3,-0.4022735212,-0.7225685019,10.3729486677,4.2575732225,1.313601026,0.001725744,-0.8853852501,-5.7788138479,2.2844193629,-48.0515502766,47.9897796075,0.0276791169,0.9072044612,13.5570856286,51.029050354,1499.6749480179,1501.7004389779,50.5192770087
0.36,-0.5505382409,-1.0891816155,10.5194865964,1.3740793832,4.1962488151,0.0033434694,-3.0964483881,-6.8752352795,3.3142477899,-48.0685024388,48.0667584626,0.0254881175,1.3263767452,12.2112845361,50.2741554991,1501.6032847751,1501.2403747649,50.6554208902
0.42,-0.6380846528,-1.5343368834,10.7221801235,4.7739760889,0.797730571,0.0046793809,-0.4727269139,-7.9926651837,4.2560762646,-48.0430534104,48.0879787163,0.014882247,1.8118735681,13.3262573216,49.2716367147,1501.8340895189,1500.1174063854,49.8477545216
0.48,-0.759331307,-2.0567891385,10.9791480946,1.8918738267,3.6824759946,0.0054511815,-3.2888851702,-9.0281151935,5.0434094529,-48.0271790286,48.064155371,0.0084845412,2.4011864953,14.9107216596,49.6795624282,1500.7797333637,1499.7189267929,50.7703537621
0.54,-0.872917157,-2.6544462219,11.2918031733,5.2930267549,0.2832883403,0.005875416,-0.4047938597,-10.2453136334,5.8453472698,-48.0440757926,48.0693926107,0.0040810976,3.0784451508,16.0395372385,50.1233652429,1501.1685904324,1500.4629709637,50.1383739389
0.6,-0.9638403321,-3.3267749645,11.658993415,2.4100729808,3.1674650051,0.0060789621,-3.1153735954,-11.3408696053,6.4710105304,-48.056542105,48.0697735112,0.0019782123,3.8404008907,17.6252936723,49.9305201327,1501.1366336329,1500.8051795466,49.7698774393
0.66,-1.101793412,-4.0665811787,12.0781025445,5.8093881176,6.0515514287,0.006265689,-0.668892567,-12.6854388546,7.2210810022,-48.0771253062,48.0657806787,0.0052885632,4.6978230481,18.6875990107,50.2199666358,1500.9930298488,1501.5228544583,50.2237261561
0.72,-1.1672795923,-4.880985302,12.5496175586,2.9247986383,2.6522549797,0.0066355981,-2.5941513664,-13.950220537,7.8308400739,-48.0755720098,48.063438934,0.0078632528,5.6291303822,20.229364566,49.7701407524,1500.9132358003,1501.3114325599,50.1986992521
0.78,-1.3211156925,-5.7572669836,13.0683085846,0.0407606879,5.5359660972,0.0070881689,-1.2490624842,-15.2688000372,8.7387003423,-48.0590442989,48.0596308219,0.0068938852,6.6562742855,21.4832995963,50.7082885676,1500.815625028,1500.6833363473,50.014881767
0.84,-1.3708828047,-6.7054970882,13.6408630316,3.4404471957,2.136001672,0.0075734989,-1.8342021961,-16.565293735,9.5314289287,-48.0574157449,48.0448131903,0.0103775352,7.7523476753,22.8010638381,49.6327610266,1500.2346752931,1500.7574980765,50.7030112648
0.9,-1.5278577581,-7.707184123,14.2524675867,0.5569161425,5.0187846236,0.008257483,-1.9166668868,-17.5421818661,10.4390686766,-48.060691571,48.0482234267,0.0133692825,8.9341209422,23.2787786065,49.786597949,1500.475509174,1500.9090831332,51.1662853164
0.96,-1.5761255989,-8.779455765,14.9135988377,3.9566028623,1.6188339104,0.0090425268,-1.035980005,-18.7881259014,11.3978696275,-48.0558372494,48.0600432547,0.0125062087,10.1836373154,23.0223278687,49.4410529875,1500.8899831205,1500.695586477,51.1496469658
